team,opponent,gf,ga,match_result,head_to_head,head_to_head_goals
Manchester United,Crystal Palace,0,1,-1,-1.0,0.0
Manchester United,Crystal Palace,0,4,-1,-1.0,0.0
Manchester United,Everton,3,0,1,1.0,3.0
Manchester United,Everton,2,0,1,1.0,2.5
Manchester United,Fulham,1,0,1,1.0,1.0
Manchester United,Fulham,1,2,-1,0.0,1.0
Manchester United,Liverpool,0,0,0,0.0,0.0
Manchester United,Liverpool,2,2,0,0.0,1.0
Manchester United,Luton Town,1,0,1,1.0,1.0
Manchester United,Luton Town,2,1,1,1.0,1.5
Manchester United,Manchester City,0,3,-1,-1.0,0.0
Manchester United,Manchester City,1,3,-1,-1.0,0.5
Manchester United,Newcastle Unitetd,0,1,-1,-1.0,0.0
Manchester United,Newcastle Unitetd,3,2,1,0.0,1.5
Manchester United,Nottingham Forest,3,2,1,1.0,3.0
Manchester United,Nottingham Forest,1,2,-1,0.0,2.0
Manchester United,Sheffield Utd,2,1,1,1.0,2.0
Manchester United,Sheffield Utd,4,2,1,1.0,3.0
Manchester United,Tottenham Hotspur,0,2,-1,-1.0,0.0
Manchester United,Tottenham Hotspur,2,2,0,-0.5,1.0
Manchester United,West Ham United,0,2,-1,-1.0,0.0
Manchester United,West Ham United,3,0,1,0.0,1.5
Manchester United,Wolverhampton,1,0,1,1.0,1.0
Manchester United,Wolverhampton,4,3,1,1.0,2.5
Newcastle Unitetd,Arsenal,1,0,1,1.0,1.0
Newcastle Unitetd,Arsenal,1,4,-1,0.0,1.0
Newcastle Unitetd,Aston Villa,5,1,1,1.0,5.0
Newcastle Unitetd,Aston Villa,3,1,1,1.0,4.0
Newcastle Unitetd,Bournemouth,0,2,-1,-1.0,0.0
Newcastle Unitetd,Bournemouth,2,2,0,-0.5,1.0
Newcastle Unitetd,Brentford,1,0,1,1.0,1.0
Newcastle Unitetd,Brentford,4,2,1,1.0,2.5
Newcastle Unitetd,Brighton,1,3,-1,-1.0,1.0
Newcastle Unitetd,Brighton,1,1,0,-0.5,1.0
Newcastle Unitetd,Burnley,2,0,1,1.0,2.0
Newcastle Unitetd,Burnley,4,1,1,1.0,3.0
Newcastle Unitetd,Chelsea,4,1,1,1.0,4.0
Newcastle Unitetd,Chelsea,2,3,-1,0.0,3.0
Newcastle Unitetd,Crystal Palace,4,0,1,1.0,4.0
Newcastle Unitetd,Crystal Palace,0,2,-1,0.0,2.0
Newcastle Unitetd,Everton,0,3,-1,-1.0,0.0
Newcastle Unitetd,Everton,1,1,0,-0.5,0.5
Newcastle Unitetd,Fulham,3,0,1,1.0,3.0
Newcastle Unitetd,Fulham,1,0,1,1.0,2.0
Newcastle Unitetd,Liverpool,1,2,-1,-1.0,1.0
Newcastle Unitetd,Liverpool,2,4,-1,-1.0,1.5
Newcastle Unitetd,Luton Town,0,1,-1,-1.0,0.0
Newcastle Unitetd,Luton Town,4,4,0,-0.5,2.0
Newcastle Unitetd,Manchester City,0,1,-1,-1.0,0.0
Newcastle Unitetd,Manchester City,2,3,-1,-1.0,1.0
Newcastle Unitetd,Manchester United,1,0,1,1.0,1.0
Newcastle Unitetd,Manchester United,2,3,-1,0.0,1.5
Newcastle Unitetd,Nottingham Forest,1,3,-1,-1.0,1.0
Newcastle Unitetd,Nottingham Forest,3,2,1,0.0,2.0
Newcastle Unitetd,Sheffield Utd,8,0,1,1.0,8.0
Newcastle Unitetd,Sheffield Utd,5,1,1,1.0,6.5
Newcastle Unitetd,Tottenham Hotspur,1,4,-1,-1.0,1.0
Newcastle Unitetd,Tottenham Hotspur,4,0,1,0.0,2.5
Newcastle Unitetd,West Ham United,2,2,0,0.0,2.0
Newcastle Unitetd,West Ham United,4,3,1,0.5,3.0
Newcastle Unitetd,Wolverhampton,2,2,0,0.0,2.0
Newcastle Unitetd,Wolverhampton,3,0,1,0.5,2.5
Nottingham Forest,Arsenal,1,2,-1,-1.0,1.0
Nottingham Forest,Arsenal,1,2,-1,-1.0,1.0
Nottingham Forest,Aston Villa,2,0,1,1.0,2.0
Nottingham Forest,Aston Villa,2,4,-1,0.0,2.0
Nottingham Forest,Bournemouth,2,3,-1,-1.0,2.0
Nottingham Forest,Bournemouth,1,1,0,-0.5,1.5
Nottingham Forest,Brentford,1,1,0,0.0,1.0
Nottingham Forest,Brentford,2,3,-1,-0.5,1.5
Nottingham Forest,Brighton,2,3,-1,-1.0,2.0
Nottingham Forest,Brighton,0,1,-1,-1.0,1.0
Nottingham Forest,Burnley,1,1,0,0.0,1.0
Nottingham Forest,Burnley,2,1,1,0.5,1.5
Nottingham Forest,Chelsea,1,0,1,1.0,1.0
Nottingham Forest,Chelsea,2,3,-1,0.0,1.5
Nottingham Forest,Crystal Palace,0,0,0,0.0,0.0
Nottingham Forest,Crystal Palace,1,1,0,0.0,0.5
Nottingham Forest,Everton,0,1,-1,-1.0,0.0
Nottingham Forest,Everton,0,2,-1,-1.0,0.0
Nottingham Forest,Fulham,0,5,-1,-1.0,0.0
Nottingham Forest,Fulham,3,1,1,0.0,1.5
Nottingham Forest,Liverpool,0,3,-1,-1.0,0.0
Nottingham Forest,Liverpool,0,1,-1,-1.0,0.0
Nottingham Forest,Luton Town,2,2,0,0.0,2.0
Nottingham Forest,Luton Town,1,1,0,0.0,1.5
Nottingham Forest,Manchester City,0,2,-1,-1.0,0.0
Nottingham Forest,Manchester City,0,2,-1,-1.0,0.0
Nottingham Forest,Manchester United,2,3,-1,-1.0,2.0
Nottingham Forest,Manchester United,2,1,1,0.0,2.0
Nottingham Forest,Newcastle Unitetd,3,1,1,1.0,3.0
Nottingham Forest,Newcastle Unitetd,2,3,-1,0.0,2.5
Nottingham Forest,Sheffield Utd,2,1,1,1.0,2.0
Nottingham Forest,Sheffield Utd,3,1,1,1.0,2.5
Nottingham Forest,Tottenham Hotspur,0,2,-1,-1.0,0.0
Nottingham Forest,Tottenham Hotspur,1,3,-1,-1.0,0.5
Nottingham Forest,West Ham United,2,3,-1,-1.0,2.0
Nottingham Forest,West Ham United,2,0,1,0.0,2.0
Nottingham Forest,Wolverhampton,1,1,0,0.0,1.0
Nottingham Forest,Wolverhampton,2,2,0,0.0,1.5
Sheffield Utd,Arsenal,0,5,-1,-1.0,0.0
Sheffield Utd,Arsenal,0,6,-1,-1.0,0.0
Sheffield Utd,Aston Villa,1,1,0,0.0,1.0
Sheffield Utd,Aston Villa,0,5,-1,-0.5,0.5
Sheffield Utd,Bournemouth,1,3,-1,-1.0,1.0
Sheffield Utd,Bournemouth,2,2,0,-0.5,1.5
Sheffield Utd,Brentford,1,0,1,1.0,1.0
Sheffield Utd,Brentford,0,2,-1,0.0,0.5
Sheffield Utd,Brighton,1,1,0,0.0,1.0
Sheffield Utd,Brighton,0,5,-1,-0.5,0.5
Sheffield Utd,Burnley,0,5,-1,-1.0,0.0
Sheffield Utd,Burnley,1,4,-1,-1.0,0.5
Sheffield Utd,Chelsea,0,2,-1,-1.0,0.0
Sheffield Utd,Chelsea,2,2,0,-0.5,1.0
Sheffield Utd,Crystal Palace,0,1,-1,-1.0,0.0
Sheffield Utd,Crystal Palace,2,3,-1,-1.0,1.0
Sheffield Utd,Everton,2,2,0,0.0,2.0
Sheffield Utd,Everton,0,1,-1,-0.5,1.0
Sheffield Utd,Fulham,1,3,-1,-1.0,1.0
Sheffield Utd,Fulham,3,3,0,-0.5,2.0
Sheffield Utd,Liverpool,0,2,-1,-1.0,0.0
Sheffield Utd,Liverpool,1,3,-1,-1.0,0.5
Sheffield Utd,Luton Town,2,3,-1,-1.0,2.0
Sheffield Utd,Luton Town,3,1,1,0.0,2.5
Sheffield Utd,Manchester City,1,2,-1,-1.0,1.0
Sheffield Utd,Manchester City,0,2,-1,-1.0,0.5
Sheffield Utd,Manchester United,1,2,-1,-1.0,1.0
Sheffield Utd,Manchester United,2,4,-1,-1.0,1.5
Sheffield Utd,Newcastle Unitetd,0,8,-1,-1.0,0.0
Sheffield Utd,Newcastle Unitetd,1,5,-1,-1.0,0.5
Sheffield Utd,Nottingham Forest,1,2,-1,-1.0,1.0
Sheffield Utd,Nottingham Forest,1,3,-1,-1.0,1.0
Sheffield Utd,Tottenham Hotspur,1,2,-1,-1.0,1.0
Sheffield Utd,Tottenham Hotspur,0,3,-1,-1.0,0.5
Sheffield Utd,West Ham United,0,2,-1,-1.0,0.0
Sheffield Utd,West Ham United,2,2,0,-0.5,1.0
Sheffield Utd,Wolverhampton,2,1,1,1.0,2.0
Sheffield Utd,Wolverhampton,0,1,-1,0.0,1.0
Tottenham Hotspur,Arsenal,2,2,0,0.0,2.0
Tottenham Hotspur,Arsenal,2,3,-1,-0.5,2.0
Tottenham Hotspur,Aston Villa,1,2,-1,-1.0,1.0
Tottenham Hotspur,Aston Villa,4,0,1,0.0,2.5
Tottenham Hotspur,Bournemouth,2,0,1,1.0,2.0
Tottenham Hotspur,Bournemouth,3,1,1,1.0,2.5
Tottenham Hotspur,Brentford,2,2,0,0.0,2.0
Tottenham Hotspur,Brentford,3,2,1,0.5,2.5
Tottenham Hotspur,Brighton,2,4,-1,-1.0,2.0
Tottenham Hotspur,Brighton,2,1,1,0.0,2.0
Tottenham Hotspur,Burnley,5,2,1,1.0,5.0
Tottenham Hotspur,Burnley,2,1,1,1.0,3.5
Tottenham Hotspur,Chelsea,1,4,-1,-1.0,1.0
Tottenham Hotspur,Chelsea,0,2,-1,-1.0,0.5
Tottenham Hotspur,Crystal Palace,2,1,1,1.0,2.0
Tottenham Hotspur,Crystal Palace,3,1,1,1.0,2.5
Tottenham Hotspur,Everton,2,1,1,1.0,2.0
Tottenham Hotspur,Everton,2,2,0,0.5,2.0
Tottenham Hotspur,Fulham,2,0,1,1.0,2.0
Tottenham Hotspur,Fulham,0,3,-1,0.0,1.0
Tottenham Hotspur,Liverpool,2,1,1,1.0,2.0
Tottenham Hotspur,Liverpool,2,4,-1,0.0,2.0
Tottenham Hotspur,Luton Town,1,0,1,1.0,1.0
Tottenham Hotspur,Luton Town,2,1,1,1.0,1.5
Tottenham Hotspur,Manchester City,3,3,0,0.0,3.0
Tottenham Hotspur,Manchester City,0,2,-1,-0.5,1.5
Tottenham Hotspur,Manchester United,2,0,1,1.0,2.0
Tottenham Hotspur,Manchester United,2,2,0,0.5,2.0
Tottenham Hotspur,Newcastle Unitetd,4,1,1,1.0,4.0
Tottenham Hotspur,Newcastle Unitetd,0,4,-1,0.0,2.0
Tottenham Hotspur,Nottingham Forest,2,0,1,1.0,2.0
Tottenham Hotspur,Nottingham Forest,3,1,1,1.0,2.5
Tottenham Hotspur,Sheffield Utd,2,1,1,1.0,2.0
Tottenham Hotspur,Sheffield Utd,3,0,1,1.0,2.5
Tottenham Hotspur,West Ham United,1,2,-1,-1.0,1.0
Tottenham Hotspur,West Ham United,1,1,0,-0.5,1.0
Tottenham Hotspur,Wolverhampton,1,2,-1,-1.0,1.0
Tottenham Hotspur,Wolverhampton,1,2,-1,-1.0,1.0
West Ham United,Arsenal,2,0,1,1.0,2.0
West Ham United,Arsenal,0,6,-1,0.0,1.0
West Ham United,Aston Villa,1,4,-1,-1.0,1.0
West Ham United,Aston Villa,1,1,0,-0.5,1.0
West Ham United,Bournemouth,1,1,0,0.0,1.0
West Ham United,Bournemouth,1,1,0,0.0,1.0
West Ham United,Brentford,2,3,-1,-1.0,2.0
West Ham United,Brentford,4,2,1,0.0,3.0
West Ham United,Brighton,3,1,1,1.0,3.0
West Ham United,Brighton,0,0,0,0.5,1.5
West Ham United,Burnley,2,1,1,1.0,2.0
West Ham United,Burnley,2,2,0,0.5,2.0
West Ham United,Chelsea,3,1,1,1.0,3.0
West Ham United,Chelsea,0,5,-1,0.0,1.5
West Ham United,Crystal Palace,1,1,0,0.0,1.0
West Ham United,Crystal Palace,2,5,-1,-0.5,1.5
West Ham United,Everton,0,1,-1,-1.0,0.0
West Ham United,Everton,3,1,1,0.0,1.5
West Ham United,Fulham,0,5,-1,-1.0,0.0
West Ham United,Fulham,0,2,-1,-1.0,0.0
West Ham United,Liverpool,1,3,-1,-1.0,1.0
West Ham United,Liverpool,2,2,0,-0.5,1.5
West Ham United,Luton Town,2,1,1,1.0,2.0
West Ham United,Luton Town,3,1,1,1.0,2.5
West Ham United,Manchester City,1,3,-1,-1.0,1.0
West Ham United,Manchester City,1,3,-1,-1.0,1.0
West Ham United,Manchester United,2,0,1,1.0,2.0
West Ham United,Manchester United,0,3,-1,0.0,1.0
West Ham United,Newcastle Unitetd,2,2,0,0.0,2.0
West Ham United,Newcastle Unitetd,3,4,-1,-0.5,2.5
West Ham United,Nottingham Forest,3,2,1,1.0,3.0
West Ham United,Nottingham Forest,0,2,-1,0.0,1.5
West Ham United,Sheffield Utd,2,0,1,1.0,2.0
West Ham United,Sheffield Utd,2,2,0,0.5,2.0
West Ham United,Tottenham Hotspur,2,1,1,1.0,2.0
West Ham United,Tottenham Hotspur,1,1,0,0.5,1.5
West Ham United,Wolverhampton,3,0,1,1.0,3.0
West Ham United,Wolverhampton,2,1,1,1.0,2.5
Wolverhampton,Arsenal,1,2,-1,-1.0,1.0
Wolverhampton,Arsenal,0,2,-1,-1.0,0.5
Wolverhampton,Aston Villa,1,1,0,0.0,1.0
Wolverhampton,Aston Villa,0,2,-1,-0.5,0.5
Wolverhampton,Bournemouth,2,1,1,1.0,2.0
Wolverhampton,Bournemouth,0,1,-1,0.0,1.0
Wolverhampton,Brentford,4,1,1,1.0,4.0
Wolverhampton,Brentford,0,2,-1,0.0,2.0
Wolverhampton,Brighton,1,4,-1,-1.0,1.0
Wolverhampton,Brighton,0,0,0,-0.5,0.5
Wolverhampton,Burnley,1,0,1,1.0,1.0
Wolverhampton,Burnley,1,1,0,0.5,1.0
Wolverhampton,Chelsea,2,1,1,1.0,2.0
Wolverhampton,Chelsea,4,2,1,1.0,3.0
Wolverhampton,Crystal Palace,2,3,-1,-1.0,2.0
Wolverhampton,Crystal Palace,1,3,-1,-1.0,1.5
Wolverhampton,Everton,1,0,1,1.0,1.0
Wolverhampton,Everton,3,0,1,1.0,2.0
Wolverhampton,Fulham,2,3,-1,-1.0,2.0
Wolverhampton,Fulham,2,1,1,0.0,2.0
Wolverhampton,Liverpool,1,3,-1,-1.0,1.0
Wolverhampton,Liverpool,0,2,-1,-1.0,0.5
Wolverhampton,Luton Town,1,1,0,0.0,1.0
Wolverhampton,Luton Town,2,1,1,0.5,1.5
Wolverhampton,Manchester City,2,1,1,1.0,2.0
Wolverhampton,Manchester City,1,5,-1,0.0,1.5
Wolverhampton,Manchester United,0,1,-1,-1.0,0.0
Wolverhampton,Manchester United,3,4,-1,-1.0,1.5
Wolverhampton,Newcastle Unitetd,2,2,0,0.0,2.0
Wolverhampton,Newcastle Unitetd,0,3,-1,-0.5,1.0
Wolverhampton,Nottingham Forest,1,1,0,0.0,1.0
Wolverhampton,Nottingham Forest,2,2,0,0.0,1.5
Wolverhampton,Sheffield Utd,1,2,-1,-1.0,1.0
Wolverhampton,Sheffield Utd,1,0,1,0.0,1.0
Wolverhampton,Tottenham Hotspur,2,1,1,1.0,2.0
Wolverhampton,Tottenham Hotspur,2,1,1,1.0,2.0
Wolverhampton,West Ham United,0,3,-1,-1.0,0.0
Wolverhampton,West Ham United,1,2,-1,-1.0,0.5
